"","year","id.sector","sector","emission"
"141",2018,"37","Angkutan Udara",20081.87821743
"142",2018,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",7666.47951895286
"143",2018,"39","Penyediaan Akomodasi",14920.8221866173
"144",2018,"40","Penyediaan Makan Minum",75489.1076842741
"145",2018,"41","Informasi dan Komunikasi",94209.9030705072
"146",2018,"42","Jasa Perantara Keuangan",71500.3333083712
"147",2018,"43","Asuransi dan Dana Pensiun",7542.54348046866
"148",2018,"44","Jasa Keuangan Lainnya",11214.9385305943
"149",2018,"45","Jasa Penunjang Keuangan",1241.15278235603
"150",2018,"46","Real Estate",33627.9341882727
"151",2018,"47","Jasa Perusahaan",14879.2233039103
"152",2018,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",86199.8069582838
"153",2018,"49","Jasa Pendidikan",90916.8950747417
"154",2018,"50","Jasa Kesehatan dan Kegiatan Sosial",24930.1412261091
"155",2018,"51","Jasa lainnya",64677.2915510043
"156",2018,"52","Lainnya",37.0909161940597
"157",2019,"1","Tanaman Pangan",156044.592898522
"158",2019,"2","Tanaman Hortikultura",59763.9771253908
"159",2019,"3","Perkebunan",25442.7648445152
"160",2019,"4","Peternakan",42176.178547118
"161",2019,"5","Jasa Pertanian dan Perburuan ",5006.17554001494
"162",2019,"6","Kehutanan dan Penebangan Kayu",3107.05996514032
"163",2019,"7","Perikanan",36171.1041923379
"164",2019,"8","Pertambangan Minyak Gas dan Panas Bumi",43320.4485251971
"165",2019,"9","Pertambangan Bijih Logam",2233.95540739889
"166",2019,"10","Pertambangan dan Penggalian Lainnya",19385.4432043679
"167",2019,"11","Industri Batubara dan Pengilangan Migas",62120.7309705778
"168",2019,"12","Industri Makanan dan Minuman",164817.859293583
"169",2019,"13","Pengolahan Tembakau",7504.00136798268
"170",2019,"14","Industri Tekstil dan Pakaian Jadi",226417.820921829
"171",2019,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",21795.4634982646
"172",2019,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",15751.2327807607
"173",2019,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",39478.4541766165
"174",2019,"18","Industri Kimia Farmasi dan Obat Tradisional",91843.3990856142
"175",2019,"19","Industri Karet Barang dari Karet dan Plastik",48304.195583621
"176",2019,"20","Industri Barang Galian bukan Logam",28813.688476058
"177",2019,"21","Industri Logam Dasar",44632.4206130308
"178",2019,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",365270.074334046
"179",2019,"23","Industri Mesin dan Perlengkapan YTDL",151190.069240135
"180",2019,"24","Industri Alat Angkutan",320993.725578839
"181",2019,"25","Industri Furnitur",8719.61587604859
