"","year","sector","income"
"152",2018,"Jasa Perusahaan",2166986.83111665
"153",2018,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",35663897.6688022
"154",2018,"Jasa Pendidikan",18848970.8438624
"155",2018,"Jasa Kesehatan dan Kegiatan Sosial",4161384.498627
"156",2018,"Jasa lainnya",13127203.0951202
"157",2018,"Lainnya",6244.91493543188
"158",2019,"Tanaman Pangan",31749245.136454
"159",2019,"Tanaman Hortikultura",10995747.2848677
"160",2019,"Perkebunan",4950980.13080292
"161",2019,"Peternakan",7960969.85542394
"162",2019,"Jasa Pertanian dan Perburuan ",910947.687181112
"163",2019,"Kehutanan dan Penebangan Kayu",356685.799227816
"164",2019,"Perikanan",6999975.2786846
"165",2019,"Pertambangan Minyak Gas dan Panas Bumi",9678360.46578955
"166",2019,"Pertambangan Bijih Logam",221387.693866175
"167",2019,"Pertambangan dan Penggalian Lainnya",3164411.66478282
"168",2019,"Industri Batubara dan Pengilangan Migas",10326189.1874033
"169",2019,"Industri Makanan dan Minuman",29547803.1650424
"170",2019,"Pengolahan Tembakau",1458018.96586039
"171",2019,"Industri Tekstil dan Pakaian Jadi",48242281.5362884
"172",2019,"Industri Kulit Barang dari Kulit dan Alas Kaki",4272311.94698697
"173",2019,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2424448.27779674
"174",2019,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",7796013.75329723
"175",2019,"Industri Kimia Farmasi dan Obat Tradisional",17814348.3658658
"176",2019,"Industri Karet Barang dari Karet dan Plastik",9192387.44579896
"177",2019,"Industri Barang Galian bukan Logam",5518126.34171734
"178",2019,"Industri Logam Dasar",9297250.26718573
"179",2019,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",41825839.415023
"180",2019,"Industri Mesin dan Perlengkapan YTDL",32335815.4687861
"181",2019,"Industri Alat Angkutan",71002589.9333257
"182",2019,"Industri Furnitur",1218505.26380552
"183",2019,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2590537.97906363
"184",2019,"Ketenagalistrikan",1199937.8051243
"185",2019,"Pengadaan Gas dan Produksi Es",4437368.17563705
"186",2019,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",580565.863973987
"187",2019,"Konstruksi",63405916.0967168
"188",2019,"Perdagangan Mobil Sepeda Motor dan Reparasinya",11546489.4801648
"189",2019,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",100760176.542372
"190",2019,"Angkutan Rel",474308.40677828
"191",2019,"Angkutan Darat",31052787.8398176
"192",2019,"Angkutan Laut",97977.3469148024
"193",2019,"Angkutan Sungai Danau dan Penyeberangan",423.474704541489
"194",2019,"Angkutan Udara",4737026.4843063
"195",2019,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1516089.55091856
"196",2019,"Penyediaan Akomodasi",3094229.91499263
"197",2019,"Penyediaan Makan Minum",15017792.7736565
"198",2019,"Informasi dan Komunikasi",18953480.0559577
"199",2019,"Jasa Perantara Keuangan",14242174.4947785
"200",2019,"Asuransi dan Dana Pensiun",1603349.60806449
"201",2019,"Jasa Keuangan Lainnya",2255392.88652421
"202",2019,"Jasa Penunjang Keuangan",188665.898979374
"203",2019,"Real Estate",5387674.90156181
"204",2019,"Jasa Perusahaan",2275336.17267248
"205",2019,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",37447092.5522424
"206",2019,"Jasa Pendidikan",19791419.3860555
"207",2019,"Jasa Kesehatan dan Kegiatan Sosial",4369453.72355835
"208",2019,"Jasa lainnya",13783563.2498762
"209",2019,"Lainnya",6557.16068220348
"210",2020,"Tanaman Pangan",33336707.3932767
"211",2020,"Tanaman Hortikultura",11545534.6491111
"212",2020,"Perkebunan",5198529.13734306
"213",2020,"Peternakan",8359018.34819513
"214",2020,"Jasa Pertanian dan Perburuan ",956495.071540168
"215",2020,"Kehutanan dan Penebangan Kayu",374520.089189207
"216",2020,"Perikanan",7349974.04261884
"217",2020,"Pertambangan Minyak Gas dan Panas Bumi",10162278.489079
"218",2020,"Pertambangan Bijih Logam",232457.078559484
"219",2020,"Pertambangan dan Penggalian Lainnya",3322632.24802196
"220",2020,"Industri Batubara dan Pengilangan Migas",10842498.6467735
"221",2020,"Industri Makanan dan Minuman",31025193.3232945
"222",2020,"Pengolahan Tembakau",1530919.91415341
"223",2020,"Industri Tekstil dan Pakaian Jadi",50654395.6131028
"224",2020,"Industri Kulit Barang dari Kulit dan Alas Kaki",4485927.54433632
"225",2020,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2545670.69168658
"226",2020,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",8185814.4409621
"227",2020,"Industri Kimia Farmasi dan Obat Tradisional",18705065.7841591
"228",2020,"Industri Karet Barang dari Karet dan Plastik",9652006.81808891
"229",2020,"Industri Barang Galian bukan Logam",5794032.65880321
"230",2020,"Industri Logam Dasar",9762112.78054501
"231",2020,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",43917131.3857742
"232",2020,"Industri Mesin dan Perlengkapan YTDL",33952606.2422254
"233",2020,"Industri Alat Angkutan",74552719.429992
"234",2020,"Industri Furnitur",1279430.52699579
"235",2020,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2720064.87801681
"236",2020,"Ketenagalistrikan",1259934.69538051
"237",2020,"Pengadaan Gas dan Produksi Es",4659236.58441891
"238",2020,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",609594.157172686
"239",2020,"Konstruksi",66576211.9015527
"240",2020,"Perdagangan Mobil Sepeda Motor dan Reparasinya",12123813.954173
"241",2020,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",105798185.369491
"242",2020,"Angkutan Rel",498023.827117194
"243",2020,"Angkutan Darat",32605427.2318085
"244",2020,"Angkutan Laut",102876.214260543
"245",2020,"Angkutan Sungai Danau dan Penyeberangan",444.648439768563
"246",2020,"Angkutan Udara",4973877.80852161
"247",2020,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1591894.02846449
"248",2020,"Penyediaan Akomodasi",3248941.41074226
"249",2020,"Penyediaan Makan Minum",15768682.4123393
"250",2020,"Informasi dan Komunikasi",19901154.0587556
"251",2020,"Jasa Perantara Keuangan",14954283.2195174
"252",2020,"Asuransi dan Dana Pensiun",1683517.08846772
"253",2020,"Jasa Keuangan Lainnya",2368162.53085042
"254",2020,"Jasa Penunjang Keuangan",198099.193928342
"255",2020,"Real Estate",5657058.6466399
"256",2020,"Jasa Perusahaan",2389102.98130611
"257",2020,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",39319447.1798545
"258",2020,"Jasa Pendidikan",20780990.3553582
"259",2020,"Jasa Kesehatan dan Kegiatan Sosial",4587926.40973627
