"","year","id.sector","sector","labour"
"225",2020,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",282239.701692353
"226",2020,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",308466.300872395
"227",2020,18,"Industri Kimia, Farmasi dan Obat Tradisional",1149392.22064243
"228",2020,19,"Industri Karet, Barang dari Karet dan Plastik",392822.06882073
"229",2020,20,"Industri Barang Galian bukan Logam",152810.608884604
"230",2020,21,"Industri Logam Dasar",275909.172555483
"231",2020,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",9337956.42233024
"232",2020,23,"Industri Mesin dan Perlengkapan YTDL",1900305.58750248
"233",2020,24,"Industri Alat Angkutan",1572297.61263693
"234",2020,25,"Industri Furnitur",84031.6939815894
"235",2020,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",155815.803713978
"236",2020,27,"Ketenagalistrikan",365076.557384785
"237",2020,28,"Pengadaan Gas dan Produksi Es",9282.3997329419
"238",2020,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",19929.1814981879
"239",2020,30,"Konstruksi",1612509.39709321
"240",2020,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",115809.914887781
"241",2020,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1250640.70448554
"242",2020,33,"Angkutan Rel",60374.5920479166
"243",2020,34,"Angkutan Darat",921667.970293042
"244",2020,35,"Angkutan Laut",9213.5122488795
"245",2020,36,"Angkutan Sungai Danau dan Penyeberangan",8.93610170804218
"246",2020,37,"Angkutan Udara",158562.859265943
"247",2020,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",11310.5513403681
"248",2020,39,"Penyediaan Akomodasi",30200.6875730828
"249",2020,40,"Penyediaan Makan Minum",346732.646118487
"250",2020,41,"Informasi dan Komunikasi",101635.446379572
"251",2020,42,"Jasa Perantara Keuangan",69022.8944799145
"252",2020,43,"Asuransi dan Dana Pensiun",7159.99857175979
"253",2020,44,"Jasa Keuangan Lainnya",7562.14871401889
"254",2020,45,"Jasa Penunjang Keuangan",1189.54153485514
"255",2020,46,"Real Estate",16293.0262233415
"256",2020,47,"Jasa Perusahaan",30292.8444384845
"257",2020,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",110933.311270749
"258",2020,49,"Jasa Pendidikan",178301.645337855
"259",2020,50,"Jasa Kesehatan dan Kegiatan Sosial",207573.168633579
"260",2020,51,"Jasa lainnya",42523.1718981233
"261",2020,52,"Lainnya",758.110168963465
"262",2021,1,"Tanaman Pangan",73790.1860983217
"263",2021,2,"Tanaman Hortikultura",52303.9385777474
"264",2021,3,"Perkebunan",55764.3688076755
"265",2021,4,"Peternakan",241199.053415346
"266",2021,5,"Jasa Pertanian, dan Perburuan",0
"267",2021,6,"Kehutanan dan Penebangan Kayu",913.052500240907
"268",2021,7,"Perikanan",71007.8158161646
"269",2021,8,"Pertambangan Minyak, Gas dan Panas Bumi",105207.008987346
"270",2021,9,"Pertambangan Bijih Logam",4182.44851319063
"271",2021,10,"Pertambangan dan Penggalian Lainnya",30479.1584085093
"272",2021,11,"Industri Batubara dan Pengilangan Migas",1893173.74813785
"273",2021,12,"Industri Makanan dan Minuman",805711.308423638
"274",2021,13,"Pengolahan Tembakau",23865.7776592658
"275",2021,14,"Industri Tekstil dan Pakaian Jadi",1509097.24753934
"276",2021,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",190553.635331342
"277",2021,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",296351.699009999
"278",2021,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",323889.642583509
"279",2021,18,"Industri Kimia, Farmasi dan Obat Tradisional",1206862.14316343
"280",2021,19,"Industri Karet, Barang dari Karet dan Plastik",412463.259664958
"281",2021,20,"Industri Barang Galian bukan Logam",160451.146389227
"282",2021,21,"Industri Logam Dasar",289704.634767377
"283",2021,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",9804854.4475807
"284",2021,23,"Industri Mesin dan Perlengkapan YTDL",1995321.00417403
"285",2021,24,"Industri Alat Angkutan",1650912.64130639
"286",2021,25,"Industri Furnitur",88233.2806783556
"287",2021,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",163606.64233414
"288",2021,27,"Ketenagalistrikan",383330.387483229
"289",2021,28,"Pengadaan Gas dan Produksi Es",9746.5199186194
"290",2021,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",20925.6428742701
"291",2021,30,"Konstruksi",1693134.88651075
"292",2021,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",121600.672202401
"293",2021,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1313172.91307984
"294",2021,33,"Angkutan Rel",63393.3262864659
"295",2021,34,"Angkutan Darat",967751.430795483
"296",2021,35,"Angkutan Laut",9674.18961075139
"297",2021,36,"Angkutan Sungai Danau dan Penyeberangan",9.38302142579013
"298",2021,37,"Angkutan Udara",166491.011730471
"299",2021,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",11876.0861024903
"300",2021,39,"Penyediaan Akomodasi",31710.7237945986
"301",2021,40,"Penyediaan Makan Minum",364069.284896762
"302",2021,41,"Informasi dan Komunikasi",106717.220737088
"303",2021,42,"Jasa Perantara Keuangan",72474.1185821274
"304",2021,43,"Asuransi dan Dana Pensiun",7518.00145323626
