"","year","id.land.use","land.use","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"83",2019,"14","Sawah",0,0,0,0,0,0,19009.7614233336,20330.5842656476,233.041079393981,0,0,62519.2953580515,57151.9545616195,710628.062146171,513.789179807616,14339.2068278641,0,1581.19966311922,112.318194574356,1865.86498313345,0,0,0
"84",2019,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,12219.6698179021,48878.6792716083,0,0,0,0,0,0,0,0
"85",2019,"16","Pemukiman",0,0,0,0,0,0,0,0,0,0,0,21431.6415438867,15811.1096412088,16363.8515857413,0,214419.515877845,0,0,0,0,0,0,0
"86",2019,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2019,"18","Lahan.terbuka",0,0,0,0,0,0,1499.79129848483,0,0,0,0,578.651642469978,0,0,0,0,0,8313.77176381854,0,0,0,0,0
"88",2019,"19","Pertambangan",0,0,0,0,0,0,0,0,0,0,0,358.5318984963,0,0,0,0,0,0,1434.12759398396,0,0,0,0
"89",2019,"20","Tubuh.air",0,0,0,0,0,0,0,2560.1094243561,0,0,0,2843.75290157995,0,0,0,0,0,0,0,21615.4493037459,0,0,0
"90",2019,"21","Rawa",0,0,0,0,0,0.903062253242751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9706304563388,0,0
"91",2019,"22","Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2019,"23","Bandara",0,0,0,0,0,0,0,0,0,0,0,56.0054687375896,0,0,0,0,0,0,0,0,0,0,224.021874949322
"93",2020,"1","Hutan.lahan.kering.primer",11673.6105606378,0,0,0,0,0,0,0,0,0,0,0,554.916222351027,0,0,0,0,0,0,0,0,0,0
"94",2020,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,115676.582287031,0,0,0,0,0,0,0,0,0,18628.2460867437,12643.5328576663,0,0,0,0,0,0,0,0,0,0
"95",2020,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2020,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2020,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2020,"6","Hutan.mangrove.sekunder",0,0,0,0,0,902.7721338048,0,0,0,0,0,0,0,0,0,50.4714805137774,0,0,0,0,0,0,0
"99",2020,"7","Hutan.tanaman",0,0,0,0,0,0,333930.922010076,0,0,0,0,31845.1529205704,26014.0430063727,28539.9476828229,0,0,0,0,0,0,0,0,0
"100",2020,"8","Perkebunan",0,0,0,0,0,0,0,114809.961605647,0,0,0,11601.3129073635,7479.61592353546,9623.25189119829,0,0,0,0,0,0,0,0,0
"101",2020,"9","Semak.belukar",0,0,0,0,0,0,0,620.881541219274,2414.09574371954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2020,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2020,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2020,"12","Pertanian.lahan.kering",0,0,0,0,0,0,51771.9490307209,0,477.571511017857,0,0,771248.182571962,58345.1676486034,60408.9662849498,8120.15265767396,11146.3873307506,0,0,533.533385079587,2296.58359577454,0,0,18.3767943363928
"105",2020,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,24675.4415807374,0,0,0,0,4163.09024105857,0,0,0,0,62909.8563294422,646460.428251425,58386.263377043,0,11574.4456371567,0,0,0,0,0,0,0
"106",2020,"14","Sawah",0,0,0,0,0,0,18185.1776733995,19935.8473968814,0,0,0,65080.1938699693,59848.0752363402,714578.886433991,0,12782.7989870963,0,1431.63353341154,0,1380.99491139992,0,0,0
"107",2020,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,11536.7632813034,46147.0531252147,0,0,0,0,0,0,0,0
"108",2020,"16","Pemukiman",0,0,0,0,0,0,0,0,0,0,0,20638.9803769597,15159.1683658827,14862.0348614283,0,202634.21819784,0,0,0,0,0,0,0
"109",2020,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2020,"18","Lahan.terbuka",0,0,0,0,0,0,0,0,0,0,0,1978.99428538758,0,0,0,0,0,7915.9771415501,0,0,0,0,0
"111",2020,"19","Pertambangan",0,0,0,0,0,0,0,0,0,0,0,380.76284931814,0,0,0,0,0,0,1523.0513972736,0,0,0,0
"112",2020,"20","Tubuh.air",0,0,0,0,0,0,0,2023.73866612498,0,0,0,3106.79741992738,0,0,0,0,0,0,0,20522.144344209,0,0,0
"113",2020,"21","Rawa",0,0,0,0,0,0.99408248643158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.976547969869,0,0
"114",2020,"22","Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",2020,"23","Bandara",0,0,0,0,0,0,0,0,0,0,0,49.0047851255754,0,0,0,0,0,0,0,0,0,0,196.019140502517
"116",2021,"1","Hutan.lahan.kering.primer",11068.4897114915,0,0,0,0,0,0,0,0,0,0,0,605.120849146222,0,0,0,0,0,0,0,0,0,0
"117",2021,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,110483.997929863,0,0,0,0,0,0,0,0,0,18030.4750513349,11837.5508865709,0,0,0,0,0,0,0,0,0,0
"118",2021,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",2021,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",2021,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",2021,"6","Hutan.mangrove.sekunder",0,0,0,0,0,851.226209970257,0,0,0,0,0,0,0,0,0,52.5400063212946,0,0,0,0,0,0,0
"122",2021,"7","Hutan.tanaman",0,0,0,0,0,0,324175.937444903,0,0,0,0,31421.7736190189,25449.6438261606,27003.784065173,0,0,0,0,0,0,0,0,0
"123",2021,"8","Perkebunan",0,0,0,0,0,0,0,109911.048811804,0,0,0,11591.9626022625,7354.3880604986,8533.0297353081,0,0,0,0,0,0,0,0,0
"124",2021,"9","Semak.belukar",0,0,0,0,0,0,0,591.563841589661,2300.10341314692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2021,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2021,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2021,"12","Pertanian.lahan.kering",0,0,0,0,0,0,50749.5386007133,0,435.858118210163,0,0,789722.797148953,62237.9648635513,63286.7283144831,7428.83611751263,10313.3884742264,0,2.2958066809224,612.914396337685,2661.0828670623,0,0,16.0796950384683
"128",2021,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,22676.3802377072,0,0,0,0,3694.92901619674,0,0,0,0,66942.4369115942,661127.060000244,61264.0871426656,0,10800.0542037683,0,0,0,0,0,0,0
"129",2021,"14","Sawah",0,0,0,0,0,0,16585.037368783,19685.7188688282,0,0,0,67935.0729155624,62565.4288228892,718348.89105019,0,10905.2083510193,0,1270.60218205824,0,640.154253406363,0,0,0
"130",2021,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,10853.4411565777,43413.764626311,0,0,0,0,0,0,0,0
"131",2021,"16","Pemukiman",0,0,0,0,0,0,0,0,0,0,0,20067.9346821928,14432.4350892095,13138.520075703,0,190549.431786253,0,0,0,0,0,0,0
"132",2021,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2021,"18","Lahan.terbuka",0,0,0,0,0,0,0,0,0,0,0,1869.5221349925,0,0,0,0,0,7478.08853996943,0,0,0,0,0
"134",2021,"19","Pertambangan",0,0,0,0,0,0,0,0,0,0,0,411.316956470757,0,0,0,0,0,0,1645.26782588262,0,0,0,0
"135",2021,"20","Tubuh.air",0,0,0,0,0,0,0,1394.50375165519,0,0,0,3445.44081862177,0,0,0,0,0,0,0,19359.778281107,0,0,0
"136",2021,"21","Rawa",0,0,0,0,0,1.0835515932722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8929963766132,0,0
"137",2021,"22","Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2021,"23","Bandara",0,0,0,0,0,0,0,0,0,0,0,42.879186967893,0,0,0,0,0,0,0,0,0,0,171.516747870973
"139",2022,"1","Hutan.lahan.kering.primer",10413.468347178,0,0,0,0,0,0,0,0,0,0,0,655.021364313445,0,0,0,0,0,0,0,0,0,0
"140",2022,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,104822.791580593,0,0,0,0,0,0,0,0,0,17375.9525612657,10961.6340257109,0,0,0,0,0,0,0,0,0,0
"141",2022,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",2022,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",2022,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",2022,"6","Hutan.mangrove.sekunder",0,0,0,0,0,797.656836564478,0,0,0,0,0,0,0,0,0,54.6529249993546,0,0,0,0,0,0,0
"145",2022,"7","Hutan.tanaman",0,0,0,0,0,0,313970.682967056,0,0,0,0,30982.0025917651,24859.2862689695,25393.470602806,0,0,0,0,0,0,0,0,0
"146",2022,"8","Perkebunan",0,0,0,0,0,0,0,105265.02838484,0,0,0,11624.8054567608,7263.32420228005,7429.67722999552,0,0,0,0,0,0,0,0,0
"147",2022,"9","Semak.belukar",0,0,0,0,0,0,0,559.710288685626,2176.25124267144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",2022,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",2022,"11","Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2022,"12","Pertanian.lahan.kering",0,0,0,0,0,0,49668.2827471029,0,391.678035129109,0,0,808927.990574372,66247.7557873767,66233.2377431761,6728.9804145479,9418.92412642116,0,321.696504806227,711.557836352469,2817.43852553493,0,0,14.0697331522824
"151",2022,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",0,20554.2414080931,0,0,0,0,3170.01884835781,0,0,0,0,71075.1971195732,676408.99841321,64185.5173173189,0,9941.58782457221,0,184.294432299881,0,89.7370348463883,0,0,0
"152",2022,"14","Sawah",0,0,0,0,0,0,14985.1198197264,19502.6603533399,0,0,0,70953.8847372391,65437.0500120975,721942.785232081,0,9008.38696009814,0,598.594425519397,0,0,0,0,0
"153",2022,"15","Tambak",0,0,0,0,0,0,0,0,0,0,0,0,0,10168.5201487645,40674.080595059,0,0,0,0,0,0,0,0
"154",2022,"16","Pemukiman",0,0,0,0,0,0,0,0,0,0,0,19488.541274337,13686.8220992702,11349.9066126194,0,178095.352835362,0,0,0,0,0,0,0
"155",2022,"17","Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",2022,"18","Lahan.terbuka",0,0,0,0,0,0,0,0,0,0,0,1750.19730574198,0,0,0,0,0,7000.78922296691,0,0,0,0,0
"157",2022,"19","Pertambangan",0,0,0,0,0,0,0,0,0,0,0,451.636444443826,0,0,0,0,0,0,1806.54577777625,0,0,0,0
"158",2022,"20","Tubuh.air",0,0,0,0,0,0,0,747.323321817889,0,0,0,3784.87975849728,0,0,0,0,0,0,0,18128.8123212603,0,0,0
"159",2022,"21","Rawa",0,0,0,0,0,1.17252017659303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7204761999237,0,0
"160",2022,"22","Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",2022,"23","Bandara",0,0,0,0,0,0,0,0,0,0,0,37.519288581741,0,0,0,0,0,0,0,0,0,0,150.077154327198
"162",2023,"1","Hutan.lahan.kering.primer",9708.33057527679,0,0,0,0,0,0,0,0,0,0,0,705.137771901338,0,0,0,0,0,0,0,0,0,0
"163",2023,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,98695.8041034373,0,0,0,0,0,0,0,0,0,16643.9707956497,10037.2580895982,0,0,0,0,0,0,0,0,0,0
