"","year","id.sector","sector","land.requirement"
"141",2018,"35","Angkutan Laut",339.472175235593
"142",2018,"36","Angkutan Sungai Danau dan Penyeberangan",339.47217128773
"143",2018,"37","Angkutan Udara",488.505691296314
"144",2018,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",203.352063905883
"145",2018,"39","Penyediaan Akomodasi",263.412122905253
"146",2018,"40","Penyediaan Makan Minum",219.259627680925
"147",2018,"41","Informasi dan Komunikasi",118.168218052231
"148",2018,"42","Jasa Perantara Keuangan",188.946842681249
"149",2018,"43","Asuransi dan Dana Pensiun",188.946842441078
"150",2018,"44","Jasa Keuangan Lainnya",188.94684279028
"151",2018,"45","Jasa Penunjang Keuangan",188.94684284539
"152",2018,"46","Real Estate",219.259627477056
"153",2018,"47","Jasa Perusahaan",203.3520634103
"154",2018,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",10220.7284736677
"155",2018,"49","Jasa Pendidikan",184.448299406017
"156",2018,"50","Jasa Kesehatan dan Kegiatan Sosial",134.140614899114
"157",2018,"51","Jasa lainnya",302.473337266228
"158",2018,"52","Lainnya",179700.312069796
"159",2018,"53","lainnya (tidak menghasilkan output)",629640.094685646
"160",2019,"1","Tanaman Pangan",1743669.95901086
"161",2019,"2","Tanaman Hortikultura",630955.486223599
"162",2019,"3","Perkebunan",103011.178357689
"163",2019,"4","Peternakan",1390.17340524931
"164",2019,"5","Jasa Pertanian dan Perburuan ",132793.281855856
"165",2019,"6","Kehutanan dan Penebangan Kayu",261120.366199084
"166",2019,"7","Perikanan",36399.8585855727
"167",2019,"8","Pertambangan Minyak Gas dan Panas Bumi",565.988330520552
"168",2019,"9","Pertambangan Bijih Logam",404.277379245055
"169",2019,"10","Pertambangan dan Penggalian Lainnya",346.73183596639
"170",2019,"11","Industri Batubara dan Pengilangan Migas",586.816700860087
"171",2019,"12","Industri Makanan dan Minuman",10655.4099320136
"172",2019,"13","Pengolahan Tembakau",784.366393633525
"173",2019,"14","Industri Tekstil dan Pakaian Jadi",506.646207190308
"174",2019,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",1891.31557048382
"175",2019,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",170.747624514024
"176",2019,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",727.024614228096
"177",2019,"18","Industri Kimia Farmasi dan Obat Tradisional",1291.79398164467
"178",2019,"19","Industri Karet Barang dari Karet dan Plastik",853.738122878374
"179",2019,"20","Industri Barang Galian bukan Logam",11599.7925767936
"180",2019,"21","Industri Logam Dasar",288.591853358415
"181",2019,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",33.0006657881333
"182",2019,"23","Industri Mesin dan Perlengkapan YTDL",1817.51708893551
"183",2019,"24","Industri Alat Angkutan",1390.17340586623
"184",2019,"25","Industri Furnitur",378.263113610551
"185",2019,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",1245.86814877171
"186",2019,"27","Ketenagalistrikan",267.971127116351
"187",2019,"28","Pengadaan Gas dan Produksi Es",140.913990595749
"188",2019,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",258.358795650892
"189",2019,"30","Konstruksi",117.32074190261
"190",2019,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",249.173629573685
"191",2019,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",249.173629666675
"192",2019,"33","Angkutan Rel",188.627994382736
"193",2019,"34","Angkutan Darat",249.173629701027
"194",2019,"35","Angkutan Laut",349.456651026741
"195",2019,"36","Angkutan Sungai Danau dan Penyeberangan",349.456646962764
"196",2019,"37","Angkutan Udara",427.442479713298
"197",2019,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",176.462534796126
"198",2019,"39","Penyediaan Akomodasi",249.173629802648
"199",2019,"40","Penyediaan Makan Minum",195.103905959949
"200",2019,"41","Informasi dan Komunikasi",85.5700888830317
"201",2019,"42","Jasa Perantara Keuangan",159.995310354128
"202",2019,"43","Asuransi dan Dana Pensiun",159.995310150758
"203",2019,"44","Jasa Keuangan Lainnya",159.995310446452
"204",2019,"45","Jasa Penunjang Keuangan",159.995310493119
"205",2019,"46","Real Estate",195.10390577854
"206",2019,"47","Jasa Perusahaan",176.462534366075
"207",2019,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",10521.3381361309
"208",2019,"49","Jasa Pendidikan",154.936571501055
"209",2019,"50","Jasa Kesehatan dan Kegiatan Sosial",101.329241409757
"210",2019,"51","Jasa lainnya",299.619815084714
"211",2019,"52","Lainnya",181428.199772938
"212",2019,"53","lainnya (tidak menghasilkan output)",599513.282121399
"213",2020,"1","Tanaman Pangan",1760436.01715405
"214",2020,"2","Tanaman Hortikultura",662503.260534779
"215",2020,"3","Perkebunan",97443.0065652894
"216",2020,"4","Peternakan",1351.55747743384
"217",2020,"5","Jasa Pertanian dan Perburuan ",129104.579592411
"218",2020,"6","Kehutanan dan Penebangan Kayu",258656.966404151
"219",2020,"7","Perikanan",34124.8674294344
"220",2020,"8","Pertambangan Minyak Gas dan Panas Bumi",594.28774704658
"221",2020,"9","Pertambangan Bijih Logam",424.491248207308
"222",2020,"10","Pertambangan dan Penggalian Lainnya",298.416744015719
"223",2020,"11","Industri Batubara dan Pengilangan Migas",739.38904308371
"224",2020,"12","Industri Makanan dan Minuman",8879.508280585
"225",2020,"13","Pengolahan Tembakau",988.301655978241
"226",2020,"14","Industri Tekstil dan Pakaian Jadi",382.718357719882
"227",2020,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",1985.88134900801
"228",2020,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",146.954922711027
"229",2020,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",601.083342622319
"230",2020,"18","Industri Kimia Farmasi dan Obat Tradisional",1233.07607326479
"231",2020,"19","Industri Karet Barang dari Karet dan Plastik",734.77461382044
"232",2020,"20","Industri Barang Galian bukan Logam",10778.5683209824
"233",2020,"21","Industri Logam Dasar",189.38840376646
"234",2020,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",18.8319016770957
"235",2020,"23","Industri Mesin dan Perlengkapan YTDL",1889.49796393379
"236",2020,"24","Industri Alat Angkutan",1351.55747803363
"237",2020,"25","Industri Furnitur",397.176269291078
"238",2020,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",1178.52392464342
"239",2020,"27","Ketenagalistrikan",258.137324381904
"240",2020,"28","Pengadaan Gas dan Produksi Es",115.593507910575
"241",2020,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",246.615214005735
"242",2020,"30","Konstruksi",91.9304321227996
"243",2020,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",235.704784757792
"244",2020,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",235.704784845755
"245",2020,"33","Angkutan Rel",166.43646554195
"246",2020,"34","Angkutan Darat",235.70478487825
"247",2020,"35","Angkutan Laut",359.734787872008
"248",2020,"36","Angkutan Sungai Danau dan Penyeberangan",359.734783688502
"249",2020,"37","Angkutan Udara",374.012169599531
"250",2020,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",153.128645898996
"251",2020,"39","Penyediaan Akomodasi",235.704784974378
"252",2020,"40","Penyediaan Makan Minum",173.609407821412
"253",2020,"41","Informasi dan Komunikasi",61.9645470850167
"254",2020,"42","Jasa Perantara Keuangan",135.479899912898
"255",2020,"43","Asuransi dan Dana Pensiun",135.47989974069
"256",2020,"44","Jasa Keuangan Lainnya",135.479899991076
