year,id.sector,sector,Tconsumption,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
2016,41,Informasi dan Komunikasi,0.003691109,3.44912E-06,1.6051E-06,3.2929E-07,0,0,0,7.15554E-06,2.77676E-06,0.002705752,0,0,3.52876E-05,0.000934754,0,0,0
2016,42,Jasa Perantara Keuangan,0.143727312,0.000134305,6.25005E-05,1.28221E-05,0,0,0,0.000278628,0.000108123,0.10535868,0,0,0.001374057,0.036398196,0,0,0
2016,43,Asuransi dan Dana Pensiun,0.005346691,4.99616E-06,2.32503E-06,4.76987E-07,0,0,0,1.0365E-05,4.02222E-06,0.003919368,0,0,5.11153E-05,0.001354022,0,0,0
2016,44,Jasa Keuangan Lainnya,0.016333862,1.5263E-05,7.10286E-06,1.45717E-06,0,0,0,3.16646E-05,1.22877E-05,0.011973466,0,0,0.000156154,0.004136466,0,0,0
2016,45,Jasa Penunjang Keuangan,0.004264422,3.98485E-06,1.8544E-06,3.80436E-07,0,0,0,8.26696E-06,3.20805E-06,0.003126016,0,0,4.07686E-05,0.001079943,0,0,0
2016,46,Real Estate,0.001438465,1.34416E-06,6.25523E-07,1.28328E-07,0,0,0,2.78859E-06,1.08213E-06,0.00105446,0,0,1.3752E-05,0.000364284,0,0,0
2016,47,Jasa Perusahaan,0.027300233,2.55104E-05,1.18716E-05,2.4355E-06,0,0,0,5.29239E-05,2.05375E-05,0.020012317,0,0,0.000260995,0.006913643,0,0,0
2016,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",0.017570767,1.64188E-05,7.64073E-06,1.56752E-06,0,0,0,3.40625E-05,1.32182E-05,0.012880175,0,0,0.000167979,0.004449706,0,0,0
2016,49,Jasa Pendidikan,0.000528417,4.93774E-07,2.29785E-07,4.7141E-08,0,0,0,1.02438E-06,3.97519E-07,0.000387354,0,0,5.05176E-06,0.000133819,0,0,0
2016,50,Jasa Kesehatan dan Kegiatan Sosial,0.001091848,1.02027E-06,4.74795E-07,9.74056E-08,0,0,0,2.11665E-06,8.21378E-07,0.000800375,0,0,1.04383E-05,0.000276505,0,0,0
2016,51,Jasa lainnya,0.002065025,1.92964E-06,8.97986E-07,1.84224E-07,0,0,0,4.00324E-06,1.55348E-06,0.001513758,0,0,1.9742E-05,0.000522957,0,0,0
2016,52,Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,Tanaman Pangan,136.1753908,0,0,41.7343625,1.093311358,0,0,41.7343625,51.57237451,0.030165346,0,0,0.000393408,0.010421203,0,0,0
2017,2,Tanaman Hortikultura,7.087140694,0,0,0,2.126001902,0,0,0,4.960671201,0.000344147,0,0,4.48826E-06,0.000118892,0,0,0
2017,3,Perkebunan,1506.315608,0,0,0,235.6570197,0,0,0,479.0878605,16.51215324,0,0,303.7662523,471.292322,0,0,0
2017,4,Peternakan,0.471200513,0,0,0,0.061811529,0,0,0,0.120764503,0.036161484,0,0,0.000471607,0.251991388,0,0,0
2017,5,"Jasa Pertanian, dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Kehutanan dan Penebangan Kayu,46.73907568,0,0,0,13.24757895,0,0,0,33.2351542,0.188693722,0,0,0.002460888,0.0651879,0,0,0
