"","year","id.land.use","land.use","luas.land.use"
"80",2019,"11","Savanna...Padang.rumput",0
"81",2019,"12","Pertanian.lahan.kering",964369.954189633
"82",2019,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",808351.076288934
"83",2019,"14","Sawah",893091.888970448
"84",2019,"15","Tambak",57623.6762529154
"85",2019,"16","Pemukiman",252806.144198429
"86",2019,"17","Transmigrasi",0
"87",2019,"18","Lahan.terbuka",9872.28505802844
"88",2019,"19","Pertambangan",1903.82064402174
"89",2019,"20","Tubuh.air",25604.7053200864
"90",2019,"21","Rawa",17.9294288868457
"91",2019,"22","Awan",0
"92",2019,"23","Bandara",245.024205921682
"93",2020,"1","Hutan.lahan.kering.primer",11653.5576485597
"94",2020,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",140119.916290503
"95",2020,"3","Hutan.rawa.primer",0
"96",2020,"4","Hutan.rawa.sekunder",0
"97",2020,"5","Hutan.mangrove.primer",0
"98",2020,"6","Hutan.mangrove.sekunder",902.645242014956
"99",2020,"7","Hutan.tanaman",408360.07685746
"100",2020,"8","Perkebunan",137913.553139129
"101",2020,"9","Semak.belukar",2887.55744644872
"102",2020,"10","Semak.belukar.rawa",0
"103",2020,"11","Savanna...Padang.rumput",0
"104",2020,"12","Pertanian.lahan.kering",987470.747108108
"105",2020,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",826693.402416617
"106",2020,"14","Sawah",897801.81904212
"107",2020,"15","Tambak",54205.8007442646
"108",2020,"16","Pemukiman",237689.812011234
"109",2020,"17","Transmigrasi",0
"110",2020,"18","Lahan.terbuka",9324.44815415317
"111",2020,"19","Pertambangan",2056.59280455056
"112",2020,"20","Tubuh.air",24150.7404214199
"113",2020,"21","Rawa",16.9344816429315
"114",2020,"22","Awan",0
"115",2020,"23","Bandara",214.396191774604
"116",2021,"1","Hutan.lahan.kering.primer",11048.07029644
"117",2021,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",132924.140761215
"118",2021,"3","Hutan.rawa.primer",0
"119",2021,"4","Hutan.rawa.sekunder",0
"120",2021,"5","Hutan.mangrove.primer",0
"121",2021,"6","Hutan.mangrove.sekunder",851.16931746153
"122",2021,"7","Hutan.tanaman",395529.762381342
"123",2021,"8","Perkebunan",132104.049761768
"124",2021,"9","Semak.belukar",2731.79185121703
"125",2021,"10","Semak.belukar.rawa",0
"126",2021,"11","Savanna...Padang.rumput",0
"127",2021,"12","Pertanian.lahan.kering",1011485.0645499
"128",2021,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",845805.215014362
"129",2021,"14","Sawah",902291.501825658
"130",2021,"15","Tambak",50779.8752489391
"131",2021,"16","Pemukiman",222111.411662705
"132",2021,"17","Transmigrasi",0
"133",2021,"18","Lahan.terbuka",8727.32690860977
"134",2021,"19","Pertambangan",2258.19236671188
"135",2021,"20","Tubuh.air",22610.9813479841
"136",2021,"21","Rawa",15.8500272490535
"137",2021,"22","Awan",0
"138",2021,"23","Bandara",187.59667843342
"139",2022,"1","Hutan.lahan.kering.primer",10392.6655500761
"140",2022,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",125136.47374422
"141",2022,"3","Hutan.rawa.primer",0
"142",2022,"4","Hutan.rawa.sekunder",0
"143",2022,"5","Hutan.mangrove.primer",0
