"","year","id.sector","sector","emission"
"121",2018,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",37433.8983140074
"122",2018,"18","Industri Kimia Farmasi dan Obat Tradisional",87086.6000393636
"123",2018,"19","Industri Karet Barang dari Karet dan Plastik",45802.4430506423
"124",2018,"20","Industri Barang Galian bukan Logam",27321.4728321625
"125",2018,"21","Industri Logam Dasar",42321.0045263097
"126",2018,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",346353.47218592
"127",2018,"23","Industri Mesin dan Perlengkapan YTDL",143360.101872743
"128",2018,"24","Industri Alat Angkutan",304369.686366775
"129",2018,"25","Industri Furnitur",8268.04421370994
"130",2018,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",16996.2857790988
"131",2018,"27","Ketenagalistrikan",5304.13727793259
"132",2018,"28","Pengadaan Gas dan Produksi Es",23825.6381244475
"133",2018,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",2776.64796463337
"134",2018,"30","Konstruksi",322633.110457894
"135",2018,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",77015.8940055789
"136",2018,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",467865.21385656
"137",2018,"33","Angkutan Rel",2322.31232560721
"138",2018,"34","Angkutan Darat",172571.096576924
"139",2018,"35","Angkutan Laut",502.127059626756
"140",2018,"36","Angkutan Sungai Danau dan Penyeberangan",2.95579591834026
"141",2018,"37","Angkutan Udara",20089.9167347002
"142",2018,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",7669.46777755599
"143",2018,"39","Penyediaan Akomodasi",14926.7945005096
"144",2018,"40","Penyediaan Makan Minum",75519.3817760507
"145",2018,"41","Informasi dan Komunikasi",94247.6825467431
"146",2018,"42","Jasa Perantara Keuangan",71527.5330354447
"147",2018,"43","Asuransi dan Dana Pensiun",7545.51419426651
"148",2018,"44","Jasa Keuangan Lainnya",11219.1960836982
"149",2018,"45","Jasa Penunjang Keuangan",1241.60615689847
"150",2018,"46","Real Estate",33641.4018598303
"151",2018,"47","Jasa Perusahaan",14885.0605093582
"152",2018,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",86234.2683288249
"153",2018,"49","Jasa Pendidikan",90953.3845404298
"154",2018,"50","Jasa Kesehatan dan Kegiatan Sosial",24940.1463536007
"155",2018,"51","Jasa lainnya",64703.2200668909
"156",2018,"52","Lainnya",37.1058037277193
"157",2019,"1","Tanaman Pangan",156106.223774849
"158",2019,"2","Tanaman Hortikultura",59787.9444963454
"159",2019,"3","Perkebunan",25339.0977876689
"160",2019,"4","Peternakan",42193.0012762263
"161",2019,"5","Jasa Pertanian dan Perburuan ",5005.06749371878
"162",2019,"6","Kehutanan dan Penebangan Kayu",3098.6020235197
"163",2019,"7","Perikanan",36185.5354805278
"164",2019,"8","Pertambangan Minyak Gas dan Panas Bumi",43337.7805899942
"165",2019,"9","Pertambangan Bijih Logam",2234.84668373
"166",2019,"10","Pertambangan dan Penggalian Lainnya",19393.205975718
"167",2019,"11","Industri Batubara dan Pengilangan Migas",62145.1526606545
"168",2019,"12","Industri Makanan dan Minuman",164883.42749778
"169",2019,"13","Pengolahan Tembakau",7507.00741147005
"170",2019,"14","Industri Tekstil dan Pakaian Jadi",226508.53449234
"171",2019,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",21804.1985444186
"172",2019,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",15757.5380837213
"173",2019,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",39494.2251100721
"174",2019,"18","Industri Kimia Farmasi dan Obat Tradisional",91879.7651576258
"175",2019,"19","Industri Karet Barang dari Karet dan Plastik",48323.3667319239
"176",2019,"20","Industri Barang Galian bukan Logam",28825.2211757593
"177",2019,"21","Industri Logam Dasar",44650.3130832362
"178",2019,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",365416.443765017
"179",2019,"23","Industri Mesin dan Perlengkapan YTDL",151250.507966635
"180",2019,"24","Industri Alat Angkutan",321121.90959159
"181",2019,"25","Industri Furnitur",8723.10964402289
"182",2019,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",17931.7454720891
"183",2019,"27","Ketenagalistrikan",5596.07203909641
"184",2019,"28","Pengadaan Gas dan Produksi Es",25136.9789912033
"185",2019,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",2929.47207493
"186",2019,"30","Konstruksi",340390.535484755
"187",2019,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",81254.7768708241
"188",2019,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",493616.078192656
"189",2019,"33","Angkutan Rel",2450.13022672839
"190",2019,"34","Angkutan Darat",182069.24853324
"191",2019,"35","Angkutan Laut",529.763663949931
"192",2019,"36","Angkutan Sungai Danau dan Penyeberangan",3.11848016466617
"193",2019,"37","Angkutan Udara",21195.646985715
