Lap_usaha,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
 Industri Tekstil Pakaian dan Kulit ,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865,0.065456865
 Industri Bambu Kayu dan Rotan ,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347,0.022108347
 Industri Kertas Barang-barang dari Kertas dan Penjilidan ,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524,0.024254524
 Industri Pupuk dan Pestisida ,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673
 Industri Kimia ,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673,0.072550673
 Pengilangan Minyak Bumi ,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235,0.011260235
 Industri Barang Karet dan Plastik ,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689,0.043119689
 Industri Barang-barang dari Mineral Bukan Logam ,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276
 Industri Semen ,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276,0.050634276
 Industri Logam Dasar Besi dan Baja ,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999
 Industri Logam Dasar Bukan Besi ,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999,0.01657999
 Industri Barang dari Logam lainnya ,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437,0.028193437
