"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID"
"1184",2017,-9060.93797639385,-145886.018407652,53736.9238543808,568280.911065578,-0.16861661082327,-0.00128932677931337,"combination2.38"
"1185",2018,-41913.3807259193,-187799.399133571,64859.4125006795,633140.323563576,-0.64621893893165,-0.00153503738763766,"combination2.38"
"1186",2019,-154637.438220887,-342436.837354458,53736.9238545001,686877.247419834,-2.87767566747193,-0.00235458893336715,"combination2.38"
"1187",2020,-267856.679297628,-610293.516652086,64859.4125008583,751736.659921169,-4.12980427927995,-0.00369071078576799,"combination2.38"
"1188",2021,-308463.512577145,-918757.029229231,52849.1753355563,804585.835254669,-5.83667598630654,-0.00513971381178852,"combination2.38"
"1189",2022,-391632.570546957,-1310389.59977619,63971.6639817357,868557.499235153,-6.12196941850333,-0.00687494713811254,"combination2.38"
"1190",2023,-409517.070627397,-1719906.67040358,52849.1753351986,921406.674571037,-7.74878828345028,-0.00858337089594774,"combination2.38"
"1191",2024,-467973.50636117,-2187880.17676475,61211.7328606546,982618.407432556,-7.64516024119898,-0.0104225937533377,"combination2.38"
"1192",2025,-473402.12107398,-2661282.29783873,49915.0982369781,1032533.50566673,-9.48414683722438,-0.012172272761376,"combination2.38"
"1193",2026,-522829.211331697,-3184111.50917043,60920.0470144153,1093453.55268431,-8.58221943275885,-0.0139905157991979,"combination2.38"
"1194",2027,-507226.720015883,-3691338.22918632,49223.4261856675,1142676.97886944,-10.3045797361333,-0.0156471955557272,"combination2.38"
"1195",2028,-545310.412901249,-4236648.64208756,50695.9847313166,1193372.9635973,-10.7564813227583,-0.0173195959387847,"combination2.38"
"1196",2029,-545354.261576567,-4782002.90366413,39082.3118140101,1232455.27541685,-13.953991876731,-0.0188879266721416,"combination2.38"
"1197",2030,-575410.681409232,-5357413.58507336,48628.8898324966,1281084.16524792,-11.8326921176126,-0.0204403693254934,"combination2.38"
"1198",2010,-75885.3547782889,-75885.3547782889,89132.2673896104,89132.2673896104,-0.851379158196242,-0.000667089316717454,"combination2.39"
"1199",2011,18868.6842512377,-57016.6705270512,74442.9636719078,163575.231061578,0.253464979368602,-0.000541010926979377,"combination2.39"
"1200",2012,-18148.6282020202,-75165.2987290714,79974.4953774214,243549.726439357,-0.226930199638921,-0.000703627522569528,"combination2.39"
"1201",2013,10594.3458360014,-64570.9528930699,63392.6774666011,306942.403906226,0.167122548839859,-0.000645749721246008,"combination2.39"
"1202",2014,-24002.1391145056,-88573.0920075756,74515.1661126614,381457.570018768,-0.322110791220893,-0.000830778072177379,"combination2.39"
"1203",2015,6171.06754093245,-82402.0244666431,60233.865688771,441691.435706973,0.102451793029828,-0.000806286412259466,"combination2.39"
"1204",2016,-28131.0266760113,-110533.051142654,63527.2226672173,505218.658375144,-0.442818456323419,-0.000995231426013099,"combination2.39"
"1205",2017,-9711.31860666443,-120244.369749319,52404.7340207994,557623.392396927,-0.185313765790892,-0.00106397707301198,"combination2.39"
"1206",2018,-42543.4907580875,-162787.860507406,63527.2226670682,621150.615061283,-0.66968913438965,-0.00131288460987738,"combination2.39"
"1207",2019,-91813.8941100361,-254601.754617442,52404.7340208888,673555.349083662,-1.75201526780841,-0.00180362860713551,"combination2.39"
"1208",2020,-166896.463068777,-421498.217686219,63527.2226672471,737082.571751595,-2.62716448258683,-0.00264052586451125,"combination2.39"
"1209",2021,-177296.402795559,-598794.620481778,51516.985501945,788599.557251453,-3.44151353321838,-0.00347713459255272,"combination2.39"
"1210",2022,-235495.90064525,-834290.521127028,62639.4741481543,851239.031398296,-3.7595446616978,-0.00452459121138504,"combination2.39"
"1211",2023,-234318.994837515,-1068609.51596454,51516.9855016172,902756.016900539,-4.54838326730432,-0.00550544615173187,"combination2.39"
"1212",2024,-277355.902919026,-1345965.41888357,59879.5430270433,962635.559928417,-4.63189745442386,-0.00659895573498126,"combination2.39"
"1213",2025,-269741.625260999,-1615707.04414457,48582.9084033966,1011218.46832895,-5.55219179183889,-0.00759866790329788,"combination2.39"
"1214",2026,-309190.46642362,-1924897.51056819,59587.8571808338,1070806.32551289,-5.18881666587382,-0.00867695386174039,"combination2.39"
"1215",2027,-294175.950980077,-2219073.46154827,48465.3685336113,1119271.6940465,-6.0698176838594,-0.00964015956648334,"combination2.39"
"1216",2028,-317283.39726772,-2536356.85881598,49937.9270792603,1169209.62112236,-6.35355562044325,-0.0106155144074529,"combination2.39"
"1217",2029,-312220.476870729,-2848577.33568671,38324.2541619539,1207533.87528944,-8.14681156093268,-0.0115150649374567,"combination2.39"
"1218",2030,-338014.371244913,-3186591.70693163,47870.8321803808,1255404.70746803,-7.06096710354334,-0.0124289019744125,"combination2.39"
"1219",2010,-113518.115343261,-113518.115343261,90805.3164481223,90805.3164481223,-1.25012631180152,-0.00098314695773994,"combination2.40"
"1220",2011,19849.2415471002,-93668.8737961603,76116.0127304196,166921.329178572,0.260776160430268,-0.000849793797573162,"combination2.40"
"1221",2012,-17194.9651971506,-110863.838993311,81647.5444359183,248568.873614848,-0.210599906169207,-0.00100569036740918,"combination2.40"
"1222",2013,11523.7420492815,-99340.0969440294,65065.7265250981,313634.600140214,0.177109250364497,-0.00094159647904421,"combination2.40"
"1223",2014,-23095.9062706316,-122436.003214661,76188.2151711881,389822.815311313,-0.303142765829822,-0.00112087633507998,"combination2.40"
"1224",2015,7055.80604238901,-115380.197172272,61906.9147472978,451729.730058074,0.113974441646634,-0.00109106594941735,"combination2.40"
"1225",2016,-27266.2310261987,-142646.428198471,65200.2717257142,516930.001784682,-0.418191984550353,-0.00127508758991357,"combination2.40"
"1226",2017,-8865.02278755512,-151511.450986026,54077.7830793262,571007.784864902,-0.163930958015626,-0.00133927386714416,"combination2.40"
"1227",2018,-41713.6588704064,-193225.109856432,65200.2717255652,636208.056587696,-0.639777377707621,-0.00158395362146668,"combination2.40"
"1228",2019,-196420.278281907,-389645.388138339,54077.7830794156,690285.839668751,-3.63218066823218,-0.00262208164043143,"combination2.40"
"1229",2020,-334719.686177765,-724365.074316104,65200.271725744,755486.111395121,-5.1337161229284,-0.0042887263418892,"combination2.40"
"1230",2021,-395834.037328671,-1120199.11164477,53190.034560442,808676.145953655,-7.44188343925343,-0.00614555281871076,"combination2.40"
"1231",2022,-495019.451302316,-1615218.56294709,64312.5232066512,872988.669158936,-7.69709267527418,-0.00833611612388152,"combination2.40"
"1232",2023,-526016.065589264,-2141234.62853635,53190.0345601141,926178.703719616,-9.889372510085,-0.0105282605090951,"combination2.40"
"1233",2024,-594862.090905365,-2736096.71944172,61552.5920855701,987731.295805931,-9.66428984953859,-0.0128638075529065,"combination2.40"
"1234",2025,-608467.828892933,-3344564.54833465,50255.957461834,1037987.2532649,-12.1073771075802,-0.0151107873597177,"combination2.40"
"1235",2026,-664670.329675213,-4009234.87800987,61260.9062393308,1099248.15950775,-10.8498285526256,-0.0174202442020337,"combination2.40"
"1236",2027,-654346.124957856,-4663581.00296772,49564.285410583,1148812.44491816,-13.201968303131,-0.0195557735118258,"combination2.40"
"1237",2028,-696649.186674017,-5360230.18964174,51036.8439562321,1199849.28887081,-13.649926850325,-0.021690778251871,"combination2.40"
"1238",2029,-700296.503996095,-6060526.69363783,39423.1710389256,1239272.45991516,-17.7635762304518,-0.0237035692937031,"combination2.40"
"1239",2030,-732903.687290525,-6793430.38092836,48969.7490573525,1288242.20897102,-14.9664578928546,-0.0256796600994363,"combination2.40"
"1240",2010,-98901.4790614694,-98901.4790614694,69737.0713332742,69737.0713332742,-1.4182052267268,-0.000853296533465303,"combination2.41"
"1241",2011,17434.4588802867,-81467.0201811828,57417.5700191259,127154.641352445,0.303643272860192,-0.000733057495525574,"combination2.41"
"1242",2012,-16486.9472174169,-97953.9673985997,68408.4309892505,195563.072342038,-0.241007533413647,-0.000879466402049528,"combination2.41"
"1243",2013,13721.0908072181,-84232.8765913816,57285.942343086,252849.014685392,0.239519334866526,-0.000797239156884538,"combination2.41"
"1244",2014,-17725.5233638603,-101958.399955242,68408.4309891462,321257.445674539,-0.259113140113865,-0.000937572836523293,"combination2.41"
"1245",2015,13051.472501291,-88906.927453951,54127.1305652559,375384.576239109,0.241126258957254,-0.00086675657574406,"combination2.41"
"1246",2016,-26124.6210012566,-115031.548455208,65249.6192118526,440634.195451856,-0.400379669901753,-0.00104375166661003,"combination2.41"
"1247",2017,-1951.45091379061,-116982.999368998,54127.1305654645,494761.326018333,-0.0360531011602475,-0.0010675669286504,"combination2.41"
"1248",2018,-34808.3940630667,-151791.393432065,65249.6192117333,560010.945227385,-0.533465091192553,-0.00127407730762619,"combination2.41"
"1249",2019,-189522.628348759,-341314.021780824,54127.1305655539,614138.075794458,-3.5014349803603,-0.00227614327530018,"combination2.41"
"1250",2020,-327829.651863458,-669143.673644282,65249.6192118824,679387.695007086,-5.02423854457924,-0.00390874453007134,"combination2.41"
"1251",2021,-388951.61931508,-1058095.29295936,53239.3820465803,732627.077051401,-7.30571250760908,-0.00573345911090339,"combination2.41"
"1252",2022,-488144.650210332,-1546239.94316969,64361.8706927896,796988.947742939,-7.58437635444644,-0.0078937567925037,"combination2.41"
"1253",2023,-519148.882000282,-2065388.82516998,53239.3820462525,850228.329790115,-9.7512191548216,-0.0100573984263679,"combination2.41"
"1254",2024,-588003.218338812,-2653392.04350879,61601.9395717084,911830.26936245,-9.54520624556537,-0.0123661268732234,"combination2.41"
"1255",2025,-601616.574837562,-3255008.61834635,50305.3049479723,962135.574307442,-11.9593067860294,-0.0145878899969766,"combination2.41"
