HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
0,0,0,0,135.2143411,294.0120894,0,117.0089853,27.08391039,0,71.94348185,11.7035559,0,0,0.029695029,0.272932249,0,35.72458598,330.8771638,0,0,0,0,0,0,0
0,0,0,0,1181.823177,0,0,55.28099713,12.79581708,0,33.98976073,15.66624791,0,0,0,2.389672754,0,0,442.9084397,0,0,0,0,0,0,0
0,0,0,0,602.4586806,0,0,28.18062571,6.522931034,0,17.32697988,7.986192212,0,0,0,1.218184854,0,0,225.78169,0,0,0,0,0,0,0
0,0,0,0,63.0423674,0,0,2.94887171,0.682571317,0,1.813126554,0.835689617,0,0,0,0.127473069,0,0,23.62620495,0,0,0,0,0,0,0
0,0,0,0,100.4792752,0,0,4.700021659,1.087907609,0,2.889828692,1.331953264,0,0,0,0.203457639,0,0,37.65632618,0,0,0,0,0,0,0
0,0,0,0,12.89009029,0,0,0.602947258,0.13956338,0,0.370724736,0.170871036,0,0,0,0.02606405,0,0,4.830781702,0,0,0,0,0,0,0
0,0,0,0,0.400375145,0.870581714,0,2.254193275,0.521775046,0,1.386000508,0.298921113,0,0,8.809E-05,0.000809567,0,0.016902345,8.450950376,0,0,0,0,0,0,0
0,0,0,0,31.65177095,68.82408503,0,107.3020607,24.83706178,0,65.97513717,7.572308737,0,0,0.006960489,0.064000585,0,0.039668592,214.0805804,0,0,0,0,0,0,0
0,0,0,0,223.3551294,485.6667403,0,247.3001549,57.24222989,0,152.0535723,16.32179772,0,0,0.049117664,0.451629041,0,6.52418338,461.4418205,0,0,0,0,0,0,0
0,0,0,0,184.8463789,401.9327364,0,15.48773334,3.584924534,0,9.522699986,2.531826879,0,0,0.040649266,0.37376349,0,84.52832164,71.57856165,0,0,0,0,0,0,0
0,0,0,0,206.2573678,448.4891111,0,37.55421851,8.692623787,0,23.09037405,6.563981326,0,0,0.045357722,0.417056986,0,39.31845205,185.5736449,0,0,0,0,0,0,0
0,0,0,0,181.0424968,393.6615179,0,46.9431011,10.86585565,0,28.86316922,18.36829674,0,0,0.039812761,0.366071957,0,5.780286146,519.2994322,0,0,0,0,0,0,0
0,0,0,0,0.1007833,0.219144718,0,0.026132431,0.006048838,0,0.016067639,0.01022532,0,0,2.21541E-05,0.000203786,0,0.003217788,0.289085222,0,0,0,0,0,0,0
