"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"3685",2019,1886782.07140775,32390920.553249,213071862.957251,1572246199.35926,0.00885514419980594,0.241818337509643,"combination2.152","Q3","combination2.152"
"3686",2020,1689226.86516737,34080147.4184164,229595219.310488,1801841418.66975,0.0073574130604304,0.24914486096026,"combination2.152","Q3","combination2.152"
"3687",2021,1555489.95294561,35635637.371362,247563341.256367,2049404759.92612,0.00628319986736163,0.255399270886501,"combination2.152","Q3","combination2.152"
"3688",2022,1492417.41339856,37128054.7847605,267111865.026341,2316516624.95246,0.00558723744170402,0.260959912038867,"combination2.152","Q3","combination2.152"
"3689",2023,1586719.3853205,38714774.170081,288390139.348187,2604906764.30065,0.0055019890378595,0.266437559593153,"combination2.152","Q3","combination2.152"
"3690",2024,1459017.18770072,40173791.3577818,311559113.19363,2916465877.49428,0.00468295461732799,0.271098852520125,"combination2.152","Q3","combination2.152"
"3691",2025,1503374.64599204,41677166.0037738,336807347.609429,3253273225.1037,0.00446360406523969,0.275542054522584,"combination2.152","Q3","combination2.152"
"3692",2026,1677432.15779457,43354598.1615684,364323421.883426,3617596646.98714,0.00460423913763993,0.280128057457387,"combination2.152","Q3","combination2.152"
"3693",2027,1861225.13395549,45215823.2955239,394328394.74889,4011925041.73602,0.00471998760104691,0.284831879365,"combination2.152","Q3","combination2.152"
"3694",2028,2033693.95615381,47249517.2516777,427064826.225982,4438989867.962,0.00476202635118837,0.289579116643122,"combination2.152","Q3","combination2.152"
"3695",2029,2260497.06713265,49510014.3188103,462793579.678035,4901783447.64005,0.00488446073237507,0.294450070774822,"combination2.152","Q3","combination2.152"
"3696",2030,2503015.5958162,52013029.9146265,501804527.399135,5403587975.03917,0.00498802912119863,0.299425770032975,"combination2.152","Q3","combination2.152"
"3697",2010,13307302.1571654,13307302.1571654,112223852.235534,112223852.235534,0.118578197879326,0.118606575951949,"combination2.153","Q3","combination2.153"
"3698",2011,1864521.13522635,15171823.2923918,120164417.826462,232388270.061996,0.0155164163314888,0.134051683641679,"combination2.153","Q3","combination2.153"
"3699",2012,3472346.54050103,18644169.8328928,128756710.799335,361144980.861331,0.0269682762082407,0.16097088013002,"combination2.153","Q3","combination2.153"
"3700",2013,2004577.45217856,20648747.2850714,138077059.857769,499222040.7191,0.0145178167484406,0.17543432392109,"combination2.153","Q3","combination2.153"
"3701",2014,2023075.15201509,22671822.4370865,148175731.872735,647397772.591836,0.0136532151820425,0.189036481150145,"combination2.153","Q3","combination2.153"
"3702",2015,2034734.35772161,24706556.7948081,159123004.943661,806520777.535497,0.0127871790659183,0.201776153185816,"combination2.153","Q3","combination2.153"
"3703",2016,2083133.55425818,26789690.3490662,170997440.436323,977518217.97182,0.0121822499152197,0.213914385790939,"combination2.153","Q3","combination2.153"
"3704",2017,2147127.06583216,28936817.4148984,183885473.891155,1161403691.86297,0.0116764365362708,0.22554962908284,"combination2.153","Q3","combination2.153"
"3705",2018,2053931.51921378,30990748.9341122,197878271.78543,1359281963.64841,0.010379772880981,0.235891003231852,"combination2.153","Q3","combination2.153"
"3706",2019,2122107.81179751,33112856.7459097,213083821.540183,1572365785.18859,0.00995902831317171,0.245813110611549,"combination2.153","Q3","combination2.153"
"3707",2020,1969719.94986502,35082576.6957747,229607177.893421,1801972963.08201,0.00857865145130318,0.254357131650909,"combination2.153","Q3","combination2.153"
"3708",2021,1876579.75259676,36959156.4483715,247575299.839299,2049548262.92131,0.0075798343122874,0.26190471635841,"combination2.153","Q3","combination2.153"
"3709",2022,1826830.78882199,38785987.2371935,267124134.814804,2316672397.73611,0.00683888331576076,0.268713684737963,"combination2.153","Q3","combination2.153"
"3710",2023,1976989.63839679,40762976.8755903,288402409.13665,2605074806.87276,0.00685496922274341,0.275541296253839,"combination2.153","Q3","combination2.153"
"3711",2024,1879029.02902488,42642005.9046151,311571382.982093,2916646189.85486,0.00603081390543776,0.281547634577574,"combination2.153","Q3","combination2.153"
"3712",2025,1949699.83621382,44591705.740829,336819617.397892,3253465807.25274,0.00578855783780133,0.287313205787417,"combination2.153","Q3","combination2.153"
"3713",2026,2147784.64379411,46739490.3846231,364335691.671889,3617801498.92464,0.00589507065294153,0.293187662873306,"combination2.153","Q3","combination2.153"
"3714",2027,2329962.92532097,49069453.309944,394340975.742885,4012142474.66752,0.00590849814917569,0.299077730855018,"combination2.153","Q3","combination2.153"
"3715",2028,2521819.675235,51591272.985179,427077407.219977,4439219881.8875,0.0059048304419814,0.304965693125761,"combination2.153","Q3","combination2.153"
"3716",2029,2745806.25616468,54337079.2413437,462806160.672029,4902026042.55953,0.00593295096196982,0.310883222281997,"combination2.153","Q3","combination2.153"
"3717",2030,2985506.6610959,57322585.9024396,501817108.39313,5403843150.95265,0.00594939194212768,0.316818521997277,"combination2.153","Q3","combination2.153"
"3718",2010,14441177.2557478,14441177.2557478,112221380.525216,112221380.525216,0.128684722894697,0.128722633946903,"combination2.154","Q3","combination2.154"
"3719",2011,1731994.09614954,16173171.3518973,120162367.849598,232383748.374814,0.0144137813455657,0.143065509400478,"combination2.154","Q3","combination2.154"
"3720",2012,3339833.9598851,19513005.3117824,128755082.555927,361138830.930741,0.0259394339515444,0.168955992933447,"combination2.154","Q3","combination2.154"
"3721",2013,1872078.94387101,21385084.2556534,138075853.347816,499214684.278557,0.013558336946542,0.182460013216285,"combination2.154","Q3","combination2.154"
"3722",2014,1890590.37479996,23275674.6304534,148174947.096237,647389631.374793,0.0127591769853783,0.195167994844216,"combination2.154","Q3","combination2.154"
"3723",2015,1902263.0104993,25177937.6409527,159122641.900618,806512273.275411,0.0119546972560158,0.207074881425436,"combination2.154","Q3","combination2.154"
"3724",2016,1881871.84168391,27059809.4826366,170997320.175109,977509593.450519,0.0110052709583799,0.218035549494227,"combination2.154","Q3","combination2.154"
"3725",2017,1884490.53612123,28944300.0187578,183885775.363396,1161395368.81391,0.0102481583058673,0.228241649010142,"combination2.154","Q3","combination2.154"
"3726",2018,1868276.89574897,30812576.9145068,197878573.25767,1359273942.07159,0.00944153207187405,0.23764421303768,"combination2.154","Q3","combination2.154"
"3727",2019,1886775.70188357,32699352.6163904,213084123.012424,1572358065.08401,0.00885460481620942,0.246461276177861,"combination2.154","Q3","combination2.154"
"3728",2020,1910200.43207059,34609553.048461,229607318.720382,1801965383.80439,0.00831942310339353,0.254745907409691,"combination2.154","Q3","combination2.154"
"3729",2021,1953875.25226201,36563428.300723,247575440.666261,2049540824.47065,0.00789203988490882,0.262605772972834,"combination2.154","Q3","combination2.154"
"3730",2022,2026232.90369051,38589661.2044135,267123964.436234,2316664788.90688,0.00758536549862486,0.270161544069018,"combination2.154","Q3","combination2.154"
"3731",2023,2087068.40292171,40676729.6073352,288402660.491536,2605067449.39842,0.00723664753773298,0.277370892325539,"combination2.154","Q3","combination2.154"
"3732",2024,2157169.766418,42833899.3737532,311571634.336978,2916639083.73541,0.00692351141338149,0.284270132528296,"combination2.154","Q3","combination2.154"
"3733",2025,2237039.18348928,45070938.5572425,336819868.752778,3253458952.48817,0.00664164852202125,0.290888977772548,"combination2.154","Q3","combination2.154"
