"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID"
"1407",2030,-1374515.62886433,-14108910.7203305,93277.5135547519,2054777.58684063,-14.7357661721709,-0.0460023219761181,"combination2.44"
"1408",2010,-715282.611544229,-715282.611544229,120224.867605835,120224.867605835,-5.94953960680854,-0.00647912960277269,"combination2.45"
"1409",2011,112851.686350616,-602430.925193613,109219.371249482,229444.238855094,1.03325705925221,-0.00562497945731807,"combination2.45"
"1410",2012,-151427.235656813,-753858.160850426,95337.6387718022,324781.877627671,-1.58832584494006,-0.00687131214398656,"combination2.45"
"1411",2013,120745.319124712,-633112.841725715,94225.3049106002,419007.182537794,1.28145320664415,-0.0060599734497756,"combination2.45"
"1412",2014,117633.506477315,-515479.3352484,94149.4287852943,513156.611323118,1.2494340963616,-0.00532457766767519,"combination2.45"
"1413",2015,93294.007187387,-422185.328061013,93727.6953302026,606884.306653261,0.995372892278128,-0.00479227404140459,"combination2.45"
"1414",2016,16557.8631923441,-405627.464868668,93127.0102497041,700011.316902399,0.177798719704917,-0.00474531238632359,"combination2.45"
"1415",2017,-50864.2427699845,-456491.707638653,92705.2767943144,792716.593696833,-0.548666101098401,-0.00506796819329391,"combination2.45"
"1416",2018,-242554.00902418,-699045.716662833,92205.8036925793,884922.397390842,-2.63057203896701,-0.0063364624256832,"combination2.45"
"1417",2019,-300939.398968227,-999985.115631061,95829.582603693,980751.979990721,-3.14036011419119,-0.00778979825499371,"combination2.45"
"1418",2020,-586649.773114715,-1586634.88874578,95990.2278824747,1076742.20787549,-6.11155724969189,-0.0103831700829513,"combination2.45"
"1419",2021,-827666.004963383,-2414300.89370916,95990.2278832495,1172732.4357574,-8.62239858384389,-0.0137618862561999,"combination2.45"
"1420",2022,-997048.142239232,-3411349.03594839,95679.0223503113,1268411.45810413,-10.4207601389228,-0.0175272358032299,"combination2.45"
"1421",2023,-1038478.35803809,-4449827.39398648,95257.2888964415,1363668.74700832,-10.9018256772672,-0.0211580344841944,"combination2.45"
"1422",2024,-1283658.86662041,-5733486.26060689,95257.2888954282,1458926.03590631,-13.4757022953865,-0.0253056650252363,"combination2.45"
"1423",2025,-1411987.85197172,-7145474.11257861,97244.9138843417,1556170.94978189,-14.519914672875,-0.0295237442619856,"combination2.45"
"1424",2026,-1390707.77823804,-8536181.89081665,96597.1751224399,1652768.12491322,-14.3969818628265,-0.0333643959165748,"combination2.45"
"1425",2027,-1399729.12377821,-9935911.01459486,94048.7962384224,1746816.9211421,-14.8830094563866,-0.0369348922066277,"combination2.45"
"1426",2028,-1419751.40998894,-11355662.4245838,94048.7962388992,1840865.71738338,-15.0959019866936,-0.0402783828863562,"combination2.45"
"1427",2029,-1375018.90268379,-12730681.3272676,93915.7316886187,1934781.44907856,-14.6409858919347,-0.0432668653082127,"combination2.45"
"1428",2030,-1374563.2572545,-14105244.5845221,93782.6671363115,2028564.11620617,-14.6569008882697,-0.0460219229391734,"combination2.45"
"1429",2010,-711591.050018597,-711591.050018597,120334.060466886,120334.060466886,-5.91346329757083,-0.00644628937805161,"combination2.46"
"1430",2011,112537.598542394,-599053.451476203,109328.564110532,229662.624577135,1.02935220505244,-0.00559484121235215,"combination2.46"
"1431",2012,-151829.542707631,-750882.994183835,95446.8316328526,325109.456210792,-1.5907237580359,-0.0068443803820169,"combination2.46"
"1432",2013,124447.824540161,-626435.169643674,95924.5885737538,421034.044784129,1.29735062084187,-0.00600735836186894,"combination2.46"
"1433",2014,118069.521267597,-508365.648376077,95289.171457082,516323.216241241,1.2390654621315,-0.00526973236168521,"combination2.46"
"1434",2015,92173.0068516023,-416192.641524475,94867.4380019903,611190.654243231,0.971597934895939,-0.00474513868957793,"combination2.46"
"1435",2016,15258.4186064415,-400934.222918034,94266.7529214919,705457.407163978,0.16186426426663,-0.00470639148851171,"combination2.46"
"1436",2017,-48868.3676537611,-449802.590571795,94995.6974613369,800453.104625463,-0.514427168384657,-0.00501932247038928,"combination2.46"
"1437",2018,-244991.959935199,-694794.550506994,94995.6974614263,895448.802088261,-2.57897953783307,-0.00630141830545039,"combination2.46"
"1438",2019,-302971.725459415,-997766.27596641,98619.4763724804,994068.278457165,-3.07212871740576,-0.00776547217339318,"combination2.46"
"1439",2020,-589458.18363221,-1587224.45959862,98619.4763727188,1092687.75483203,-5.97709707364936,-0.0103721016663969,"combination2.46"
"1440",2021,-830208.589688756,-2417433.04928738,98619.4763734639,1191307.23120427,-8.41830255257921,-0.0137620318181801,"combination2.46"
"1441",2022,-999855.780577648,-3417288.82986502,98308.270840466,1289615.50204134,-10.1706171009783,-0.0175387604380524,"combination2.46"
"1442",2023,-1041551.56699981,-4458840.39686483,97886.5373866558,1387502.03943539,-10.6403964713313,-0.0211810133533124,"combination2.46"
"1443",2024,-1294767.06914112,-5753607.46600595,94434.5033999681,1481936.5428381,-13.7107415459926,-0.0253640785259202,"combination2.46"
"1444",2025,-1415133.76047046,-7168741.22647642,96422.1283888221,1578358.67121792,-14.6764418512309,-0.0295912908715565,"combination2.46"
"1445",2026,-1393968.03663542,-8562709.26311184,94456.1512063146,1672814.82243299,-14.757832272783,-0.033440393165153,"combination2.46"
"1446",2027,-1404754.35790595,-9967463.62101779,93406.2068170309,1766221.02924013,-15.0391971344866,-0.0370234982519153,"combination2.46"
"1447",2028,-1422697.89504825,-11390161.516066,93406.2068174481,1859627.2360611,-15.2312993271288,-0.0403737636306685,"combination2.46"
"1448",2029,-1377967.43636737,-12768128.9524334,93273.1422672868,1952900.378335,-14.7734642885582,-0.0433685030283746,"combination2.46"
"1449",2030,-1377513.75582484,-14145642.7082583,93140.07771492,2046040.45604038,-14.7896994464734,-0.0461293359351949,"combination2.46"
"1450",2010,-776381.373871146,-776381.373871146,119460.019093201,119460.019093201,-6.49908965162166,-0.00702351638258972,"combination2.47"
"1451",2011,115109.878219856,-661271.49565129,108454.522736847,227914.541829795,1.06136540289018,-0.00614995576778354,"combination2.47"
"1452",2012,-149352.419384466,-810623.915035756,94572.7902591676,322487.332089782,-1.5792324512704,-0.00737960454277858,"combination2.47"
"1453",2013,126833.784618707,-683790.130417049,95050.5472000539,417537.879289329,1.3343824770599,-0.00652469959963975,"combination2.47"
"1454",2014,120368.14592872,-563421.984488329,94415.1300834119,511953.009372711,1.27488195824525,-0.00577100319511803,"combination2.47"
"1455",2015,94387.9668864347,-469034.017601894,93993.3966283202,605946.406001091,1.00419785083068,-0.00523197463167635,"combination2.47"
"1456",2016,17393.2349967714,-451640.782605123,93392.7115478218,699339.117548227,0.186237605788598,-0.00518026744989242,"combination2.47"
"1457",2017,-46810.3197344579,-498451.102339581,94121.6560876369,793460.773636103,-0.497338462583708,-0.00548156775702791,"combination2.47"
"1458",2018,-243007.44367386,-741458.546013441,94121.6560877264,887582.42972517,-2.58184411297826,-0.00675323030008401,"combination2.47"
"1459",2019,-301057.637419224,-1042516.18343266,97745.4349988103,985327.864720345,-3.08001736779716,-0.00820792881833599,"combination2.47"
"1460",2020,-587098.665454395,-1629614.84888706,97906.0802776217,1083233.94500017,-5.99654958905129,-0.0108040005394576,"combination2.47"
"1461",2021,-828443.293118507,-2458058.14200557,97906.0802783668,1181140.02527714,-8.46161229990083,-0.014186542471869,"combination2.47"
"1462",2022,-998151.658923119,-3456209.80092869,97594.8747453988,1278734.90001917,-10.2275007937359,-0.0179566546316021,"combination2.47"
"1463",2023,-1039906.02528572,-4496115.82621441,97173.1412915587,1375908.04131794,-10.7015787640906,-0.0215929842736717,"combination2.47"
"1464",2024,-1293167.24522792,-5789283.07144233,93721.1073048711,1469629.14862585,-13.7980363486456,-0.0257707151684541,"combination2.47"
"1465",2025,-1413598.01738518,-7202881.08882751,95708.732293725,1565337.8809104,-14.7697914652858,-0.0299931849363428,"combination2.47"
"1466",2026,-1392483.71212681,-8595364.80095432,93742.7551112771,1659080.6360302,-14.854307519273,-0.0338380454623268,"combination2.47"
"1467",2027,-1403319.26008655,-9998684.06104087,92692.8107219338,1751773.44674301,-15.1394617247752,-0.0374173577474588,"combination2.47"
"1468",2028,-1421309.92079708,-11419993.981838,92692.8107224107,1844466.25746822,-15.3335507869484,-0.0407642326339923,"combination2.47"
"1469",2029,-1376624.57056142,-12796618.5523994,92559.7461721897,1937026.0036478,-14.8728213666497,-0.0437559418931042,"combination2.47"
"1470",2030,-1376214.06552341,-14172832.6179228,92426.681619823,2029452.68525696,-14.8897920103219,-0.0465140673038849,"combination2.47"
"1471",2010,-1458489.32857992,-1458489.32857992,104849.578895152,104849.578895152,-13.910302205776,-0.0130952428756159,"combination2.48"
"1472",2011,142487.916650001,-1316001.41192991,93844.0825388134,198693.661433697,1.51834737785485,-0.0119821886559714,"combination2.48"
"1473",2012,136882.780241054,-1179118.63168886,85672.7381837964,284366.399618268,1.59774022802207,-0.0109808172380335,"combination2.48"
"1474",2013,143249.654964833,-1035868.97672403,86150.4951246977,370516.894742548,1.66278388484578,-0.0100009309186363,"combination2.48"
"1475",2014,136859.120257091,-899009.856466938,85515.0780080259,456031.972750545,1.60040923127318,-0.00913030123572117,"combination2.48"
"1476",2015,110978.043152003,-788031.813314935,85093.344552964,541125.317303538,1.30419181118128,-0.00848179724486098,"combination2.48"
"1477",2016,34105.4453630541,-753926.367951881,84492.6594724357,625617.976775289,0.403649803142726,-0.00832753672433217,"combination2.48"
"1478",2017,-29953.8673917688,-783880.23534365,85221.6040122807,710839.580787897,-0.351482088831048,-0.00853271867570626,"combination2.48"
"1479",2018,-225985.529610682,-1009865.76495433,85221.6040123701,796061.184801579,-2.65173992240137,-0.00971425419695582,"combination2.48"
"1480",2019,-283849.893230263,-1293715.6581846,88845.382923454,884906.567721367,-3.19487500520784,-0.0110844121723095,"combination2.48"
"1481",2020,-569685.540273167,-1863401.19845776,89006.0282022655,973912.595925808,-6.40052760222669,-0.0136011596137326,"combination2.48"
"1482",2021,-810806.019035723,-2674207.21749349,89006.0282030106,1062918.62412763,-9.10956297461544,-0.0169092542418472,"combination2.48"
"1483",2022,-980272.221484799,-3654479.43897828,88694.8226700425,1151613.44679403,-11.0521921345009,-0.0206094844276115,"combination2.48"
"1484",2023,-1021767.1308691,-4676246.56984739,88273.0892161727,1239886.53601742,-11.5750693664622,-0.0241802104898332,"combination2.48"
"1485",2024,-1274752.29263868,-5950998.86248606,84821.055229485,1324707.59124994,-15.0287247569582,-0.0282963513832835,"combination2.48"
"1486",2025,-1394891.06918264,-7345889.9316687,86808.680218339,1411516.2714591,-16.0685667110045,-0.0324609997385401,"combination2.48"
"1487",2026,-1373469.47005461,-8719359.40172331,84842.7030358911,1496358.97450399,-16.1884218784683,-0.0362515802582555,"combination2.48"
"1488",2027,-1385209.78249113,-10104569.1842144,84531.4975025654,1580890.47199678,-16.386906933112,-0.0397832123539268,"combination2.48"
